size_bytes,rapidhash_ns,rapidhash_x2_ns,bfhash_ns,speedup_vs_rh2
8,4.8084,5.2339,4.0248,1.3004
12,4.6523,5.1447,3.7759,1.3625
16,4.6314,5.1365,3.7483,1.3704
17,6.1756,6.5313,5.7974,1.1266
20,5.8602,6.4762,5.8151,1.1137
24,5.8902,6.4297,5.5134,1.1662
28,6.1285,6.5069,5.8233,1.1174
32,5.8965,6.6017,5.7068,1.1568
40,7.3533,7.9551,6.1743,1.2884
48,7.1509,7.8956,6.0599,1.3029
64,8.7094,9.3735,7.7323,1.2123
96,11.0595,11.8482,9.9736,1.1880
112,12.0969,12.9760,11.1268,1.1662
128,6.6544,9.4601,5.6486,1.6748
144,7.8672,10.8360,7.0967,1.5269
224,14.0142,17.2375,13.5774,1.2696
240,9.0749,13.0388,8.2600,1.5785
256,10.3196,14.5221,9.4212,1.5414
352,10.7768,16.5034,9.7151,1.6987
1024,20.4798,36.8631,19.3399,1.9061
